battery_id,cycle_index,protocol_id,discharge_capacity_ah_max,discharge_capacity_ah_mean,discharge_capacity_ah_min,charge_capacity_ah_max,charge_capacity_ah_mean,charge_capacity_ah_min,voltage_v_max,voltage_v_mean,voltage_v_min,voltage_v_std,current_a_mean,current_a_std,discharge_energy_wh_max,charge_energy_wh_max,aux_temperature_1_c_mean,aux_temperature_1_c_max,aux_temperature_1_c_min,aux_temperature_1_c_std,current_a_abs_mean,soh_percent,rul,rolling_mean_discharge_capacity_ah_max,rolling_mean_charge_capacity_ah_max,rolling_mean_voltage_v_max,rolling_mean_current_a_mean,rolling_mean_discharge_energy_wh_max,rolling_mean_charge_energy_wh_max,rolling_mean_aux_temperature_1_c_mean,rolling_mean_current_a_abs_mean,rolling_mean_soh_percent,rolling_std_discharge_capacity_ah_max,rolling_std_charge_capacity_ah_max,rolling_std_voltage_v_max,rolling_std_current_a_mean,rolling_std_discharge_energy_wh_max,rolling_std_charge_energy_wh_max,rolling_std_aux_temperature_1_c_mean,rolling_std_current_a_abs_mean,rolling_std_soh_percent
1,29,1,2.382554,0.444938483021331,3.439893e-05,2.378943,1.788915384306207,0.003329686,4.200035,3.867563792413793,2.999978,0.292584464488123,-0.0020292872827586,1.4483812892846526,8.787161,9.302451,25.75457848220015,29.44491,24.35009,1.459214303243135,1.1830226327172415,98.38072912817036,780,2.3888658,2.3846418,4.2000304,-0.0010497225025166,8.8575836,9.3234276,25.612722774148363,1.0579809900058157,98.64135679331928,0.0107659360345498,0.0099594280809692,3.209361305599981e-06,0.0027445485586555,0.1458679102777588,0.0360033026096254,0.3233866031065695,0.2787485743803049,0.4445484286300452
1,30,1,2.38157,0.4438617615559392,3.079828e-05,2.378084,1.78782513098895,0.003329066,4.200029,3.867847150552486,2.999992,0.2922420005484106,-0.0023772131629834,1.4492450245151178,8.783602,9.299212,25.74049595470595,29.4595237152407,24.3499643388181,1.4594564368803982,1.1842903931906077,98.34009767240394,779,2.3881916,2.384071,4.2000298,-0.0011859720475874,8.8552494,9.321177,25.610154890624745,1.05829713340617,98.6135176393785,0.0111710947225425,0.0103007083979695,3.114482299134844e-06,0.002800980586913,0.1472015733723669,0.0373429761735763,0.3220390865447688,0.2789262408410679,0.4612782937820383
1,31,1,2.404881,0.8479631961927828,2.49981e-05,2.376904,2.0993277052425228,0.003331438,4.200023,3.8245219817945375,2.999997,0.2868046129057275,-0.003456326461671,0.6729286251993433,9.107052,9.294419,25.027242442351536,25.4902741680979,24.3936522246921,0.2149528023983044,0.559549601994831,99.30265851119574,778,2.3875624,2.3834008,4.2000284,-0.0011755421365732,8.8529728,9.318484000000002,25.608735622838207,1.058338928565448,98.5875366312807,0.0097760798022529,0.0107118691972969,4.3358966772194535e-06,0.002790246833017,0.1421136759734976,0.0389904377636405,0.3252112206016729,0.2788327843837193,0.4036751565592107
1,32,1,2.38193,0.4430466314031593,0.0,2.399439,1.8018856577204672,0.003330255,4.20002,3.8663092287087912,2.999997,0.2936445190095597,0.0029162798695054,1.447421904572504,8.785026,9.376017,25.736767660838883,29.44512,24.3403170768476,1.4679924593232132,1.1830732537706043,98.35496283914776,777,2.3869002,2.3828076,4.200026800000001,-0.0013268149678847,8.850685799999999,9.3161656,25.60543320449129,1.0585031651919965,98.56019298289804,0.0100800475296506,0.0093978904175352,5.761944116129075e-06,0.0024630058095258,0.1433372071731562,0.0338597198718529,0.3234555686257057,0.2789242445658368,0.4162266314272863
1,33,1,2.38042,0.4451208303692202,3.306485e-05,2.377248,1.787710415447895,0.003328805,4.20003,3.867245409937888,2.999997,0.2929141166186613,-0.0025719334506556,1.448874765825539,8.779531,9.295531,25.73731637529578,29.4628769808547,24.34708,1.4620713693006668,1.1834828463975156,98.29261172308344,776,2.386271,2.3821236,4.2000274,-0.0015036960977126,8.8484744,9.313526,25.59928018307846,1.05868374561416,98.53421197480024,0.0104322345640814,0.0097117629861936,5.941380310682087e-06,0.0025263294563643,0.1445761290715043,0.0350769467599501,0.3198606843553866,0.2790249305096968,0.4307691841823501
1,34,1,2.379217,0.4453030891868508,3.3071e-05,2.376067,1.7867269559323204,0.003328632,4.200033,3.867138348756906,2.999986,0.2928593571330856,-0.0027722234530386,1.449111345511643,8.775425,9.291078,25.74864840222,29.45709,24.36001,1.457531153777445,1.1839012724033149,98.2429372908812,775,2.3856036000000005,2.3815484,4.200027,-0.0016522833317686,8.846127200000002,9.3112514,25.59809416708243,1.0588594735513746,98.50665360734244,0.0108286862684268,0.0100272787086029,5.338539125964672e-06,0.0025861113092424,0.1459095297357245,0.0363213326751703,0.3191511004191026,0.2791230746245214,0.4471395194350237
1,35,1,2.378309,0.4442157996446058,3.319745e-05,2.374867,1.7853205162047028,0.00332964,4.200032,3.86763770746888,2.999989,0.2920745359725945,-0.0014314851521438,1.4486237771639898,8.772494,9.286592,25.75602832652552,29.4364775741034,24.329256510624,1.4606271623796012,1.1835572686514524,98.20544403698288,774,2.3849514,2.3809050000000003,4.2000276,-0.0014631377296007,8.8439056,9.3087274,25.601200641446344,1.0587128486435438,98.4797228802582,0.0112233709419236,0.0104013760387749,5.770615218464688e-06,0.0025542237126478,0.1471785764345487,0.0377764569712464,0.32095419388156,0.2790408931314297,0.4634368902204663
1,36,1,2.401376,0.8468393556853433,3.186394e-05,2.373887,2.0967170613891963,0.003328988,4.200024,3.824583177025708,2.999999,0.2869506111631985,-0.0034359339309469,0.6729222987160686,9.094199,9.282798,25.018676887104206,25.4423,24.3325751433,0.2123230847130337,0.5594735430946307,99.15792959609276,773,2.3842504,2.3803016,4.2000278,-0.0014590592234559,8.841335,9.3064032,25.59948753039688,1.0586976368635037,98.45077709723762,0.0096692521065496,0.0107723994448777,5.58569601738728e-06,0.0025502585876898,0.1414335990615397,0.0392072593750247,0.3247836258950003,0.2790749076867311,0.3992640134773044
1,37,1,2.378497,0.4420570746452936,8.254843e-10,2.395851,1.7987457253640742,0.003327094,4.200045,3.8664761438403294,2.999993,0.2931396753394153,0.003789966345492,1.4472669922080283,8.772667,9.361934,25.72219142359017,29.4373397024309,24.36047,1.460214386828877,1.1830832368203716,98.21320695739354,772,2.3835638,2.379584,4.200032800000001,-0.0012843219282585,8.8388632,9.3035866,25.596572282947136,1.058699633473457,98.42242592088677,0.0099917216084123,0.0091807866220712,7.661592524026802e-06,0.0029270841758374,0.1427654488495043,0.032964978276961,0.323305402232226,0.279076020009381,0.4125794660189295
1,38,1,2.377479,0.4441635277469226,3.326463e-05,2.374242,1.785006184399032,0.003329346,4.200031,3.867495825034578,2.999993,0.292313833838504,-0.001577271473029,1.4485796053030204,8.769233,9.283814,25.737841720474776,29.43946,24.34545,1.458709346028726,1.183422952593361,98.17117156921243,771,2.3829756,2.3789828,4.200033,-0.0010853895327332,8.8368036,9.3012432,25.596677351982937,1.058687654712626,98.39813789011257,0.0103047248774537,0.0094659948341418,7.5828754443445155e-06,0.0028504952465745,0.1439051237579832,0.0340784557044557,0.3233626569739412,0.2790693261379181,0.4255040376457625
